Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,link,wiki_link
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York",1976-03-31,51253,1958 (1889),/wiki/International_Flavors_%26_Fragrances,https://en.wikipedia.org/wiki/International_Flavors_%26_Fragrances
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434,1898,/wiki/International_Paper,https://en.wikipedia.org/wiki/International_Paper
IPG,Interpublic Group of Companies (The),Communication Services,Advertising,"New York City, New York",1992-10-01,51644,1961 (1930),/wiki/The_Interpublic_Group_of_Companies,https://en.wikipedia.org/wiki/The_Interpublic_Group_of_Companies
INTU,Intuit,Information Technology,Application Software,"Mountain View, California",2000-12-05,896878,1983,/wiki/Intuit,https://en.wikipedia.org/wiki/Intuit
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California",2008-06-02,1035267,1995,/wiki/Intuitive_Surgical,https://en.wikipedia.org/wiki/Intuitive_Surgical
IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",2008-08-21,914208,1935,/wiki/Invesco,https://en.wikipedia.org/wiki/Invesco
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,"Dallas, Texas",2022-09-19,1687229,2012,/wiki/Invitation_Homes,https://en.wikipedia.org/wiki/Invitation_Homes
IQV,IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",2017-08-29,1478242,1982,/wiki/IQVIA,https://en.wikipedia.org/wiki/IQVIA
IRM,Iron Mountain,Real Estate,Other Specialized REITs,"Boston, Massachusetts",2009-01-06,1020569,1951,/wiki/Iron_Mountain_(company),https://en.wikipedia.org/wiki/Iron_Mountain_(company)
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,"Lowell, Arkansas",2015-07-01,728535,1961,/wiki/J.B._Hunt,https://en.wikipedia.org/wiki/J.B._Hunt
JBL,Jabil,Information Technology,Electronic Manufacturing Services,"St. Petersburg, Florida",2023-12-18,898293,1966,/wiki/Jabil,https://en.wikipedia.org/wiki/Jabil
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,"Monett, Missouri",2018-11-13,779152,1976,/wiki/Jack_Henry_%26_Associates,https://en.wikipedia.org/wiki/Jack_Henry_%26_Associates
J,Jacobs Solutions,Industrials,Construction & Engineering,"Dallas, Texas",2007-10-26,52988,1947,/wiki/Jacobs_Solutions,https://en.wikipedia.org/wiki/Jacobs_Solutions
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1973-06-30,200406,1886,/wiki/Johnson_%26_Johnson,https://en.wikipedia.org/wiki/Johnson_%26_Johnson
JCI,Johnson Controls,Industrials,Building Products,"Cork, Ireland",2010-08-27,833444,1885,/wiki/Johnson_Controls,https://en.wikipedia.org/wiki/Johnson_Controls
JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",1975-06-30,19617,2000 (1799 / 1871),/wiki/JPMorgan_Chase,https://en.wikipedia.org/wiki/JPMorgan_Chase
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",2006-06-02,1043604,1996,/wiki/Juniper_Networks,https://en.wikipedia.org/wiki/Juniper_Networks
K,Kellanova,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1989-09-11,55067,1906,/wiki/Kellanova,https://en.wikipedia.org/wiki/Kellanova
KVUE,Kenvue,Consumer Staples,Personal Care Products,"Skillman, New Jersey",2023-08-25,1944048,2022 (Johnson & Johnson spinoff),/wiki/Kenvue,https://en.wikipedia.org/wiki/Kenvue
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts",2022-06-21,1418135,1981,/wiki/Keurig_Dr_Pepper,https://en.wikipedia.org/wiki/Keurig_Dr_Pepper
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01,91576,1825,/wiki/KeyBank,https://en.wikipedia.org/wiki/KeyBank
KEYS,Keysight,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2018-11-06,1601046,2014 (1939),/wiki/Keysight,https://en.wikipedia.org/wiki/Keysight
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",1957-03-04,55785,1872,/wiki/Kimberly-Clark,https://en.wikipedia.org/wiki/Kimberly-Clark
KIM,Kimco Realty,Real Estate,Retail REITs,"Jericho, New York",2006-04-04,879101,1958,/wiki/Kimco_Realty,https://en.wikipedia.org/wiki/Kimco_Realty
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2012-05-25,1506307,1997,/wiki/Kinder_Morgan,https://en.wikipedia.org/wiki/Kinder_Morgan
KKR,KKR,Financials,Asset Management & Custody Banks,"New York City, New York",2024-06-24,1404912,1976,/wiki/Kohlberg_Kravis_Roberts,https://en.wikipedia.org/wiki/Kohlberg_Kravis_Roberts
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,"Milpitas, California",1997-09-30,319201,1975/1977 (1997),/wiki/KLA_Corporation,https://en.wikipedia.org/wiki/KLA_Corporation
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869),/wiki/Kraft_Heinz,https://en.wikipedia.org/wiki/Kraft_Heinz
KR,Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",1957-03-04,56873,1883,/wiki/Kroger,https://en.wikipedia.org/wiki/Kroger
LHX,L3Harris,Industrials,Aerospace & Defense,"Melbourne, Florida",2008-09-22,202058,"2019 (L3 1997, Harris 1895)",/wiki/L3Harris,https://en.wikipedia.org/wiki/L3Harris
LH,LabCorp,Health Care,Health Care Services,"Burlington, North Carolina",2004-11-01,920148,1978,/wiki/LabCorp,https://en.wikipedia.org/wiki/LabCorp
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",2012-06-29,707549,1980,/wiki/Lam_Research,https://en.wikipedia.org/wiki/Lam_Research
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",2018-12-03,1679273,2016 (1950),/wiki/Lamb_Weston,https://en.wikipedia.org/wiki/Lamb_Weston
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",2019-10-03,1300514,1988,/wiki/Las_Vegas_Sands,https://en.wikipedia.org/wiki/Las_Vegas_Sands
LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969,/wiki/Leidos,https://en.wikipedia.org/wiki/Leidos
LEN,Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida",2005-10-04,920760,1954,/wiki/Lennar,https://en.wikipedia.org/wiki/Lennar
LLY,Lilly (Eli),Health Care,Pharmaceuticals,"Indianapolis, Indiana",1970-12-31,59478,1876,/wiki/Eli_Lilly_and_Company,https://en.wikipedia.org/wiki/Eli_Lilly_and_Company
LIN,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom",1992-07-01,1707925,1879,/wiki/Linde_plc,https://en.wikipedia.org/wiki/Linde_plc
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",2019-12-23,1335258,2010,/wiki/Live_Nation_Entertainment,https://en.wikipedia.org/wiki/Live_Nation_Entertainment
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",2016-05-23,1065696,1998,/wiki/LKQ_Corporation,https://en.wikipedia.org/wiki/LKQ_Corporation
LMT,Lockheed Martin,Industrials,Aerospace & Defense,"Bethesda, Maryland",1957-03-04,936468,1995,/wiki/Lockheed_Martin,https://en.wikipedia.org/wiki/Lockheed_Martin
L,Loews Corporation,Financials,Multi-line Insurance,"New York City, New York",1995-05-31,60086,1959,/wiki/Loews_Corporation,https://en.wikipedia.org/wiki/Loews_Corporation
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1984-02-29,60667,1904/1946/1959,/wiki/Lowe%27s,https://en.wikipedia.org/wiki/Lowe%27s
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Vancouver, Canada",2023-10-18,1397187,1998,/wiki/Lululemon_Athletica,https://en.wikipedia.org/wiki/Lululemon_Athletica
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",2012-09-05,1489393,2007,/wiki/LyondellBasell,https://en.wikipedia.org/wiki/LyondellBasell
MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2004-02-23,36270,1856,/wiki/M%26T_Bank,https://en.wikipedia.org/wiki/M%26T_Bank
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,101778,1887,/wiki/Marathon_Oil,https://en.wikipedia.org/wiki/Marathon_Oil
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",2011-07-01,1510295,2009 (1887),/wiki/Marathon_Petroleum,https://en.wikipedia.org/wiki/Marathon_Petroleum
MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000,/wiki/MarketAxess,https://en.wikipedia.org/wiki/MarketAxess
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",1998-05-29,1048286,1927,/wiki/Marriott_International,https://en.wikipedia.org/wiki/Marriott_International
MMC,Marsh McLennan,Financials,Insurance Brokers,"New York City, New York",1987-08-31,62709,1905,/wiki/Marsh_McLennan,https://en.wikipedia.org/wiki/Marsh_McLennan
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993,/wiki/Martin_Marietta_Materials,https://en.wikipedia.org/wiki/Martin_Marietta_Materials
MAS,Masco,Industrials,Building Products,"Livonia, Michigan",1981-06-30,62996,1929,/wiki/Masco,https://en.wikipedia.org/wiki/Masco
MA,Mastercard,Financials,Transaction & Payment Processing Services,"Harrison, New York",2008-07-18,1141391,1966,/wiki/Mastercard,https://en.wikipedia.org/wiki/Mastercard
MTCH,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas",2021-09-20,891103,1986,/wiki/Match_Group,https://en.wikipedia.org/wiki/Match_Group
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",2003-03-20,63754,1889,/wiki/McCormick_%26_Company,https://en.wikipedia.org/wiki/McCormick_%26_Company
MCD,McDonald's,Consumer Discretionary,Restaurants,"Chicago, Illinois",1970-06-30,63908,1940,/wiki/McDonald%27s,https://en.wikipedia.org/wiki/McDonald%27s
MCK,McKesson Corporation,Health Care,Health Care Distributors,"Irving, Texas",1999-01-13,927653,1833,/wiki/McKesson_Corporation,https://en.wikipedia.org/wiki/McKesson_Corporation
MDT,Medtronic,Health Care,Health Care Equipment,"Dublin, Ireland",1986-10-31,1613103,1949,/wiki/Medtronic,https://en.wikipedia.org/wiki/Medtronic
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891,/wiki/Merck_%26_Co.,https://en.wikipedia.org/wiki/Merck_%26_Co.
META,Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",2013-12-23,1326801,2004,/wiki/Meta_Platforms,https://en.wikipedia.org/wiki/Meta_Platforms
MET,MetLife,Financials,Life & Health Insurance,"New York City, New York",2000-12-11,1099219,1868,/wiki/MetLife,https://en.wikipedia.org/wiki/MetLife
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",2016-09-06,1037646,1945,/wiki/Mettler_Toledo,https://en.wikipedia.org/wiki/Mettler_Toledo
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2017-07-26,789570,1986,/wiki/MGM_Resorts,https://en.wikipedia.org/wiki/MGM_Resorts
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",2007-09-07,827054,1989,/wiki/Microchip_Technology,https://en.wikipedia.org/wiki/Microchip_Technology
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125,1978,/wiki/Micron_Technology,https://en.wikipedia.org/wiki/Micron_Technology
MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington",1994-06-01,789019,1975,/wiki/Microsoft,https://en.wikipedia.org/wiki/Microsoft
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,"Memphis, Tennessee",2016-12-02,912595,1977,/wiki/Mid-America_Apartment_Communities,https://en.wikipedia.org/wiki/Mid-America_Apartment_Communities
MRNA,Moderna,Health Care,Biotechnology,"Cambridge, Massachusetts",2021-07-21,1682852,2010,/wiki/Moderna,https://en.wikipedia.org/wiki/Moderna
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",2013-12-23,851968,1878,/wiki/Mohawk_Industries,https://en.wikipedia.org/wiki/Mohawk_Industries
MOH,Molina Healthcare,Health Care,Managed Health Care,"Long Beach, California",2022-03-02,1179929,1980,/wiki/Molina_Healthcare,https://en.wikipedia.org/wiki/Molina_Healthcare
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,"Chicago, Illinois",1976-06-30,24545,"2005 (Molson 1786, Coors 1873)",/wiki/Molson_Coors_Beverage_Company,https://en.wikipedia.org/wiki/Molson_Coors_Beverage_Company
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2012-10-02,1103982,2012,/wiki/Mondelez_International,https://en.wikipedia.org/wiki/Mondelez_International
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",2021-02-12,1280452,1997,/wiki/Monolithic_Power_Systems,https://en.wikipedia.org/wiki/Monolithic_Power_Systems
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Corona, California",2012-06-28,865752,2012 (1935),/wiki/Monster_Beverage,https://en.wikipedia.org/wiki/Monster_Beverage
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,"New York City, New York",1998-07-01,1059556,1909,/wiki/Moody%27s_Corporation,https://en.wikipedia.org/wiki/Moody%27s_Corporation
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York City, New York",1993-07-29,895421,1935,/wiki/Morgan_Stanley,https://en.wikipedia.org/wiki/Morgan_Stanley
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",2011-09-26,1285785,2004 (1865 / 1909),/wiki/The_Mosaic_Company,https://en.wikipedia.org/wiki/The_Mosaic_Company
MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505,1928 (2011),/wiki/Motorola_Solutions,https://en.wikipedia.org/wiki/Motorola_Solutions
MSCI,MSCI,Financials,Financial Exchanges & Data,"New York City, New York",2018-04-04,1408198,1969,/wiki/MSCI,https://en.wikipedia.org/wiki/MSCI
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York City, New York",2008-10-22,1120193,1971,"/wiki/Nasdaq,_Inc.","https://en.wikipedia.org/wiki/Nasdaq,_Inc."
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",1999-06-25,1002047,1992,/wiki/NetApp,https://en.wikipedia.org/wiki/NetApp
NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",2010-12-20,1065280,1997,"/wiki/Netflix,_Inc.","https://en.wikipedia.org/wiki/Netflix,_Inc."
NEM,Newmont,Materials,Gold,"Denver, Colorado",1969-06-30,1164727,1921,/wiki/Newmont,https://en.wikipedia.org/wiki/Newmont
NWSA,News Corp (Class A),Communication Services,Publishing,"New York City, New York",2013-08-01,1564708,2013 (News Corporation 1980),/wiki/News_Corp,https://en.wikipedia.org/wiki/News_Corp
NWS,News Corp (Class B),Communication Services,Publishing,"New York City, New York",2015-09-18,1564708,2013 (News Corporation 1980),/wiki/News_Corp,https://en.wikipedia.org/wiki/News_Corp
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",1976-06-30,753308,1984 (1925),/wiki/NextEra_Energy,https://en.wikipedia.org/wiki/NextEra_Energy
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1988-11-30,320187,1964,"/wiki/Nike,_Inc.","https://en.wikipedia.org/wiki/Nike,_Inc."
NI,NiSource,Utilities,Multi-Utilities,"Merrillville, Indiana",2000-11-02,1111711,1912,/wiki/NiSource,https://en.wikipedia.org/wiki/NiSource
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,"Westlake, Ohio",2022-02-15,72331,1935,/wiki/Nordson_Corporation,https://en.wikipedia.org/wiki/Nordson_Corporation
NSC,Norfolk Southern Railway,Industrials,Rail Transportation,"Atlanta, Georgia",1957-03-04,702165,1881/1894 (1980),/wiki/Norfolk_Southern_Railway,https://en.wikipedia.org/wiki/Norfolk_Southern_Railway
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,"Chicago, Illinois",1998-01-30,73124,1889,/wiki/Northern_Trust,https://en.wikipedia.org/wiki/Northern_Trust
NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia",1957-03-04,1133421,"1994 (Northrop 1939, Grumman 1930)",/wiki/Northrop_Grumman,https://en.wikipedia.org/wiki/Northrop_Grumman
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2017-10-13,1513761,2011 (1966),/wiki/Norwegian_Cruise_Line_Holdings,https://en.wikipedia.org/wiki/Norwegian_Cruise_Line_Holdings
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",2010-01-29,1013871,1992,/wiki/NRG_Energy,https://en.wikipedia.org/wiki/NRG_Energy
NUE,Nucor,Materials,Steel,"Charlotte, North Carolina",1985-04-30,73309,1940,/wiki/Nucor,https://en.wikipedia.org/wiki/Nucor
NVDA,Nvidia,Information Technology,Semiconductors,"Santa Clara, California",2001-11-30,1045810,1993,/wiki/Nvidia,https://en.wikipedia.org/wiki/Nvidia
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,"Reston, Virginia",2019-09-26,906163,1980,"/wiki/NVR,_Inc.","https://en.wikipedia.org/wiki/NVR,_Inc."
NXPI,NXP Semiconductors,Information Technology,Semiconductors,"Eindhoven, Netherlands",2021-03-22,1413447,1953,/wiki/NXP_Semiconductors,https://en.wikipedia.org/wiki/NXP_Semiconductors
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Automotive Retail,"Springfield, Missouri",2009-03-27,898173,1957,/wiki/O%27Reilly_Auto_Parts,https://en.wikipedia.org/wiki/O%27Reilly_Auto_Parts
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,797468,1920,/wiki/Occidental_Petroleum,https://en.wikipedia.org/wiki/Occidental_Petroleum
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,"Thomasville, North Carolina",2019-12-09,878927,1934,/wiki/Old_Dominion_Freight_Line,https://en.wikipedia.org/wiki/Old_Dominion_Freight_Line
OMC,Omnicom Group,Communication Services,Advertising,"New York City, New York",1997-12-31,29989,1986,/wiki/Omnicom_Group,https://en.wikipedia.org/wiki/Omnicom_Group
ON,ON Semiconductor,Information Technology,Semiconductors,"Phoenix, Arizona",2022-06-21,1097864,1999,/wiki/ON_Semiconductor,https://en.wikipedia.org/wiki/ON_Semiconductor
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",2010-03-15,1039684,1906,/wiki/Oneok,https://en.wikipedia.org/wiki/Oneok
ORCL,Oracle Corporation,Information Technology,Application Software,"Austin, Texas",1989-08-31,1341439,1977,/wiki/Oracle_Corporation,https://en.wikipedia.org/wiki/Oracle_Corporation
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,"Farmington, Connecticut",2020-04-03,1781335,"2020 (1853, United Technologies spinoff)",/wiki/Otis_Worldwide,https://en.wikipedia.org/wiki/Otis_Worldwide
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,"Bellevue, Washington",1980-12-31,75362,1905,/wiki/Paccar,https://en.wikipedia.org/wiki/Paccar
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois",2017-07-26,75677,1959,/wiki/Packaging_Corporation_of_America,https://en.wikipedia.org/wiki/Packaging_Corporation_of_America
PANW,Palo Alto Networks,Information Technology,Systems Software,"Santa Clara, California",2023-06-20,1327567,2005,/wiki/Palo_Alto_Networks,https://en.wikipedia.org/wiki/Palo_Alto_Networks
PARA,Paramount Global,Communication Services,Movies & Entertainment,"New York City, New York",1994-09-30,813828,2019 (Paramount Pictures 1912),/wiki/Paramount_Global,https://en.wikipedia.org/wiki/Paramount_Global
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,"Cleveland, Ohio",1985-11-30,76334,1917,/wiki/Parker_Hannifin,https://en.wikipedia.org/wiki/Parker_Hannifin
PAYX,Paychex,Industrials,Human Resource & Employment Services,"Penfield, New York",1998-10-01,723531,1971,/wiki/Paychex,https://en.wikipedia.org/wiki/Paychex
PAYC,Paycom,Industrials,Human Resource & Employment Services,"Oklahoma City, Oklahoma",2020-01-28,1590955,1998,/wiki/Paycom,https://en.wikipedia.org/wiki/Paycom
PYPL,PayPal,Financials,Transaction & Payment Processing Services,"San Jose, California",2015-07-20,1633917,1998,/wiki/PayPal,https://en.wikipedia.org/wiki/PayPal
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,"Worsley, United Kingdom",2012-10-01,77360,1966,/wiki/Pentair,https://en.wikipedia.org/wiki/Pentair
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York",1957-03-04,77476,1898,/wiki/PepsiCo,https://en.wikipedia.org/wiki/PepsiCo
PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003,1849,/wiki/Pfizer,https://en.wikipedia.org/wiki/Pfizer
PCG,PG&E Corporation,Utilities,Multi-Utilities,"Oakland, California",2022-10-03,1004980,1905,/wiki/PG%26E,https://en.wikipedia.org/wiki/PG%26E
PM,Philip Morris International,Consumer Staples,Tobacco,"New York City, New York",2008-03-31,1413329,2008 (1847),/wiki/Philip_Morris_International,https://en.wikipedia.org/wiki/Philip_Morris_International
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",2012-05-01,1534701,2012 (1917),/wiki/Phillips_66,https://en.wikipedia.org/wiki/Phillips_66
PNW,Pinnacle West,Utilities,Multi-Utilities,"Phoenix, Arizona",1999-10-04,764622,1985,/wiki/Pinnacle_West,https://en.wikipedia.org/wiki/Pinnacle_West
PNC,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676,1845,/wiki/PNC_Financial_Services,https://en.wikipedia.org/wiki/PNC_Financial_Services
POOL,Pool Corporation,Consumer Discretionary,Distributors,"Covington, Louisiana",2020-10-07,945841,1993,/wiki/Pool_Corporation,https://en.wikipedia.org/wiki/Pool_Corporation
